number,value,datetime_start,datetime_complete,duration,params_svc_C,state
0,0.3220082304526749,2022-09-18 15:04:15.683990,2022-09-18 15:51:46.569432,0 days 00:47:30.885442,73.92316816264395,COMPLETE
1,0.32594238683127574,2022-09-18 15:04:15.685786,2022-09-18 16:12:05.884151,0 days 01:07:50.198365,1093796694.9472468,COMPLETE
2,0.32230452674897114,2022-09-18 15:04:15.687221,2022-09-18 15:52:37.600588,0 days 00:48:21.913367,96.74159566517436,COMPLETE
3,0.32592592592592595,2022-09-18 15:04:15.693532,2022-09-18 16:12:34.449925,0 days 01:08:18.756393,61455414.839733854,COMPLETE
4,0.3259917695473251,2022-09-18 15:04:15.694768,2022-09-18 16:14:02.457299,0 days 01:09:46.762531,1162051415.0799077,COMPLETE
5,0.320641975308642,2022-09-18 15:04:15.712598,2022-09-18 15:51:33.384205,0 days 00:47:17.671607,16.523298116773002,COMPLETE
6,0.3259753086419753,2022-09-18 15:04:15.724660,2022-09-18 16:12:22.248038,0 days 01:08:06.523378,7216061898.653707,COMPLETE
7,0.3220082304526749,2022-09-18 15:04:15.730163,2022-09-18 15:51:28.325478,0 days 00:47:12.595315,68.95557668575893,COMPLETE
8,0.3210864197530864,2022-09-18 15:51:28.494303,2022-09-18 16:34:19.944375,0 days 00:42:51.450072,20.173288600608828,COMPLETE
9,0.3259753086419753,2022-09-18 15:51:33.603902,2022-09-18 16:54:20.411814,0 days 01:02:46.807912,697620.6909432384,COMPLETE
10,0.3260082304526749,2022-09-18 15:51:46.754027,2022-09-18 16:55:22.923712,0 days 01:03:36.169685,3210239.390081698,COMPLETE
11,0.32590946502057616,2022-09-18 15:52:37.736336,2022-09-18 16:57:09.528010,0 days 01:04:31.791674,2304714.3732063253,COMPLETE
12,0.322156378600823,2022-09-18 16:12:06.064958,2022-09-18 16:54:38.480384,0 days 00:42:32.415426,3.7763735485693495,COMPLETE
13,0.32595884773662553,2022-09-18 16:12:22.388973,2022-09-18 17:18:06.548518,0 days 01:05:44.159545,359994086.14051735,COMPLETE
14,0.32171193415637855,2022-09-18 16:12:34.611248,2022-09-18 16:55:56.456427,0 days 00:43:21.845179,45.0358342449951,COMPLETE
15,0.32572839506172835,2022-09-18 16:14:02.574558,2022-09-18 17:12:43.829548,0 days 00:58:41.254990,51636.26211194833,COMPLETE
16,0.3254156378600823,2022-09-18 16:34:20.103297,2022-09-18 17:28:54.028205,0 days 00:54:33.924908,10425.014508759512,COMPLETE
17,0.329283950617284,2022-09-18 16:54:20.615031,2022-09-18 17:40:00.532560,0 days 00:45:39.917529,1.169646233423323,COMPLETE
18,0.32534979423868315,2022-09-18 16:54:38.627706,2022-09-18 17:50:19.524322,0 days 00:55:40.896616,9478.15619542342,COMPLETE
19,0.32538271604938274,2022-09-18 16:55:23.049481,2022-09-18 17:50:29.764561,0 days 00:55:06.715080,8355.394546619007,COMPLETE
20,0.32482304526748973,2022-09-18 16:55:56.605033,2022-09-18 17:46:54.691047,0 days 00:50:58.086014,2116.3158726157653,COMPLETE
21,0.32531687242798357,2022-09-18 16:57:09.698246,2022-09-18 17:51:03.393964,0 days 00:53:53.695718,5813.2468458158155,COMPLETE
22,0.325283950617284,2022-09-18 17:12:43.965100,2022-09-18 18:07:31.042137,0 days 00:54:47.077037,5767.756022578731,COMPLETE
23,0.32520164609053503,2022-09-18 17:18:06.712771,2022-09-18 18:13:38.669627,0 days 00:55:31.956856,4656.7518450572015,COMPLETE
24,0.3248724279835391,2022-09-18 17:28:54.169960,2022-09-18 18:22:22.417440,0 days 00:53:28.247480,2385.260600867921,COMPLETE
25,0.3248888888888889,2022-09-18 17:40:00.693011,2022-09-18 18:33:31.721230,0 days 00:53:31.028219,2313.561536381419,COMPLETE
26,0.32436213991769547,2022-09-18 17:46:54.924349,2022-09-18 18:38:38.436947,0 days 00:51:43.512598,1131.9412604583813,COMPLETE
27,0.32437860082304526,2022-09-18 17:50:19.664606,2022-09-18 18:43:02.720858,0 days 00:52:43.056252,800.5299646606375,COMPLETE
28,0.3205267489711934,2022-09-18 17:50:29.898091,2022-09-18 18:38:44.303905,0 days 00:48:14.405814,10.573031380135147,COMPLETE
29,0.3208395061728395,2022-09-18 17:51:03.507200,2022-09-18 18:39:10.933701,0 days 00:48:07.426501,8.104725969949076,COMPLETE
30,0.32074074074074077,2022-09-18 18:07:31.262233,2022-09-18 18:57:56.285775,0 days 00:50:25.023542,12.106663811711913,COMPLETE
31,0.32077366255144035,2022-09-18 18:13:38.815585,2022-09-18 19:04:40.569340,0 days 00:51:01.753755,8.502712443294996,COMPLETE
32,0.3204609053497942,2022-09-18 18:22:22.601538,2022-09-18 19:12:49.678277,0 days 00:50:27.076739,11.13591703457844,COMPLETE
33,0.3208395061728395,2022-09-18 18:33:31.861057,2022-09-18 19:24:05.473778,0 days 00:50:33.612721,7.2952174706131245,COMPLETE
34,0.32111934156378596,2022-09-18 18:38:38.617379,2022-09-18 19:28:15.152450,0 days 00:49:36.535071,21.254400092107904,COMPLETE
35,0.3210534979423868,2022-09-18 18:38:44.479529,2022-09-18 19:28:12.120620,0 days 00:49:27.641091,6.481321525402663,COMPLETE
36,0.3211028806584362,2022-09-18 18:39:11.078587,2022-09-18 19:28:46.527559,0 days 00:49:35.448972,5.994640743488754,COMPLETE
37,0.32093827160493826,2022-09-18 18:43:02.895224,2022-09-18 19:33:34.412892,0 days 00:50:31.517668,7.964632033397787,COMPLETE
38,0.3208230452674897,2022-09-18 18:57:56.401855,2022-09-18 19:47:46.342173,0 days 00:49:49.940318,8.059841862941594,COMPLETE
39,0.32284773662551436,2022-09-18 19:04:40.704901,2022-09-18 19:56:08.550983,0 days 00:51:27.846082,169.1041879266201,COMPLETE
40,0.33084773662551437,2022-09-18 19:12:49.816322,2022-09-18 20:02:03.122153,0 days 00:49:13.305831,1.0231257948197534,COMPLETE
41,0.32365432098765434,2022-09-18 19:24:05.670841,2022-09-18 20:15:31.606658,0 days 00:51:25.935817,312.5717084546471,COMPLETE
42,0.3237695473251029,2022-09-18 19:28:12.274027,2022-09-18 20:18:56.208340,0 days 00:50:43.934313,344.99311348184557,COMPLETE
43,0.32401646090534975,2022-09-18 19:28:15.300374,2022-09-18 20:19:14.260593,0 days 00:50:58.960219,426.3850709339715,COMPLETE
44,0.32367078189300413,2022-09-18 19:28:46.733042,2022-09-18 20:19:33.786563,0 days 00:50:47.053521,323.462023006923,COMPLETE
45,0.3229465020576132,2022-09-18 19:33:34.646931,2022-09-18 20:24:37.561224,0 days 00:51:02.914293,196.49083294978007,COMPLETE
46,0.32345679012345674,2022-09-18 19:47:46.523083,2022-09-18 20:39:12.153369,0 days 00:51:25.630286,261.95581294432753,COMPLETE
47,0.32327572016460904,2022-09-18 19:56:08.716545,2022-09-18 20:48:11.572045,0 days 00:52:02.855500,247.6853621197085,COMPLETE
48,0.32362139917695476,2022-09-18 20:02:03.329213,2022-09-18 20:53:21.298202,0 days 00:51:17.968989,288.54516381393694,COMPLETE
49,0.3215802469135802,2022-09-18 20:15:31.918261,2022-09-18 21:06:06.020463,0 days 00:50:34.102202,43.30897141588833,COMPLETE
50,0.32154732510288064,2022-09-18 20:18:56.412560,2022-09-18 21:08:46.883448,0 days 00:49:50.470888,37.00338083805503,COMPLETE
51,0.32149794238683127,2022-09-18 20:19:14.442765,2022-09-18 21:09:16.396331,0 days 00:50:01.953566,38.8402429514961,COMPLETE
52,0.32159670781893,2022-09-18 20:19:33.926460,2022-09-18 21:09:28.240246,0 days 00:49:54.313786,42.83322405708993,COMPLETE
53,0.3213991769547325,2022-09-18 20:24:37.694172,2022-09-18 21:15:18.648270,0 days 00:50:40.954098,35.8138438689598,COMPLETE
54,0.32134979423868315,2022-09-18 20:39:12.333224,2022-09-18 21:30:00.490173,0 days 00:50:48.156949,22.82602412385129,COMPLETE
55,0.32136625514403294,2022-09-18 20:48:11.776066,2022-09-18 21:39:15.418751,0 days 00:51:03.642685,34.790979693549055,COMPLETE
56,0.32159670781893,2022-09-18 20:53:21.455772,2022-09-18 21:44:34.894821,0 days 00:51:13.439049,41.50635700336911,COMPLETE
57,0.321283950617284,2022-09-18 21:06:06.181091,2022-09-18 21:56:57.937493,0 days 00:50:51.756402,34.05012358032592,COMPLETE
58,0.32536625514403295,2022-09-18 21:08:47.056337,2022-09-18 21:58:17.612614,0 days 00:49:30.556277,1.9504363693324582,COMPLETE
59,0.3250534979423868,2022-09-18 21:09:16.601190,2022-09-18 21:58:35.394080,0 days 00:49:18.792890,2.0876715992362165,COMPLETE
60,0.32302880658436217,2022-09-18 21:09:28.395112,2022-09-18 21:59:04.110391,0 days 00:49:35.715279,3.060570906941951,COMPLETE
61,0.3269794238683128,2022-09-18 21:15:18.797233,2022-09-18 22:05:07.793004,0 days 00:49:48.995771,1.6395390423755258,COMPLETE
62,0.3277530864197531,2022-09-18 21:30:00.717575,2022-09-18 22:18:46.029738,0 days 00:48:45.312163,1.4862223837658288,COMPLETE
63,0.3253004115226338,2022-09-18 21:39:15.571336,2022-09-18 22:29:06.236184,0 days 00:49:50.664848,1.972124170116192,COMPLETE
64,0.3242962962962963,2022-09-18 21:44:35.053644,2022-09-18 22:33:36.692394,0 days 00:49:01.638750,2.41927629894302,COMPLETE
65,0.32233744855967084,2022-09-18 21:56:58.226041,2022-09-18 22:45:29.735852,0 days 00:48:31.509811,3.660452557192894,COMPLETE
66,0.32419753086419756,2022-09-18 21:58:17.765522,2022-09-18 22:46:30.312934,0 days 00:48:12.547412,2.4660173320890095,COMPLETE
67,0.32594238683127574,2022-09-18 21:58:35.549630,2022-09-18 23:11:10.719747,0 days 01:12:35.170117,18387498.112366896,COMPLETE
68,0.32075720164609056,2022-09-18 21:59:04.300925,2022-09-18 22:48:05.301588,0 days 00:49:01.000663,12.17925214911819,COMPLETE
69,0.3206748971193416,2022-09-18 22:05:07.976312,2022-09-18 22:54:22.755686,0 days 00:49:14.779374,11.647169044760918,COMPLETE
70,0.32080658436213993,2022-09-18 22:18:46.234143,2022-09-18 23:08:17.159435,0 days 00:49:30.925292,8.884753010865508,COMPLETE
71,0.3205267489711934,2022-09-18 22:29:06.546233,2022-09-18 23:19:04.306065,0 days 00:49:57.759832,13.058562262664692,COMPLETE
72,0.32059259259259254,2022-09-18 22:33:36.850832,2022-09-18 23:23:05.932552,0 days 00:49:29.081720,12.6682386293985,COMPLETE
73,0.320724279835391,2022-09-18 22:45:29.901161,2022-09-18 23:35:03.479159,0 days 00:49:33.577998,14.494694257707922,COMPLETE
74,0.32060905349794244,2022-09-18 22:46:30.622827,2022-09-18 23:35:55.149708,0 days 00:49:24.526881,13.25423415880431,COMPLETE
75,0.3223539094650206,2022-09-18 22:48:05.496622,2022-09-18 23:38:47.823384,0 days 00:50:42.326762,95.07328113461273,COMPLETE
76,0.32210699588477365,2022-09-18 22:54:22.925763,2022-09-18 23:44:31.945674,0 days 00:50:09.019911,83.04138422191815,COMPLETE
77,0.3259917695473251,2022-09-18 23:08:17.431651,2022-09-19 00:18:56.592252,0 days 01:10:39.160601,51359991.92437486,COMPLETE
78,0.3224197530864198,2022-09-18 23:11:10.846625,2022-09-18 23:59:38.646299,0 days 00:48:27.799674,106.22005210314316,COMPLETE
79,0.32207407407407407,2022-09-18 23:19:04.495367,2022-09-19 00:08:08.266893,0 days 00:49:03.771526,82.07671767173225,COMPLETE
80,0.32059259259259254,2022-09-18 23:23:06.072921,2022-09-19 00:10:36.501680,0 days 00:47:30.428759,15.260497207473238,COMPLETE
81,0.3225843621399177,2022-09-18 23:35:03.626074,2022-09-19 00:23:02.901377,0 days 00:47:59.275303,119.51679848500764,COMPLETE
82,0.32248559670781896,2022-09-18 23:35:55.273489,2022-09-19 00:24:14.059216,0 days 00:48:18.785727,108.55288856308894,COMPLETE
83,0.32594238683127574,2022-09-18 23:38:48.091679,2022-09-19 00:43:52.540569,0 days 01:05:04.448890,220607.2933934058,COMPLETE
84,0.32569547325102877,2022-09-18 23:44:32.204833,2022-09-19 00:45:11.884803,0 days 01:00:39.679970,47845.49407792087,COMPLETE
85,0.32057613168724275,2022-09-18 23:59:38.916039,2022-09-19 00:45:37.048159,0 days 00:45:58.132120,16.18843333784675,COMPLETE
86,0.3215802469135802,2022-09-19 00:08:08.550286,2022-09-19 00:54:34.892727,0 days 00:46:26.342441,4.5448673759512666,COMPLETE
87,0.3258765432098766,2022-09-19 00:10:36.635237,2022-09-19 01:16:13.947771,0 days 01:05:37.312534,176304.56552732867,COMPLETE
88,0.32577777777777783,2022-09-19 00:18:56.812253,2022-09-19 01:21:01.772685,0 days 01:02:04.960432,60465.16812372743,COMPLETE
89,0.32059259259259254,2022-09-19 00:23:03.030676,2022-09-19 01:09:01.469923,0 days 00:45:58.439247,15.06088636690038,COMPLETE
90,0.32574485596707814,2022-09-19 00:24:14.213658,2022-09-19 01:26:49.840991,0 days 01:02:35.627333,59555.899187590425,COMPLETE
91,0.3205267489711934,2022-09-19 00:43:52.798572,2022-09-19 01:32:44.008296,0 days 00:48:51.209724,15.492447096325863,COMPLETE
92,0.3208395061728395,2022-09-19 00:45:12.028942,2022-09-19 01:34:04.365435,0 days 00:48:52.336493,17.372549411742636,COMPLETE
93,0.32156378600823043,2022-09-19 00:45:37.247113,2022-09-19 01:34:03.760392,0 days 00:48:26.513279,4.534705000270963,COMPLETE
94,0.3208230452674897,2022-09-19 00:54:35.041893,2022-09-19 01:44:42.593080,0 days 00:50:07.551187,17.25441609308784,COMPLETE
95,0.3210205761316872,2022-09-19 01:09:01.671879,2022-09-19 01:58:47.115117,0 days 00:49:45.443238,18.75868743520003,COMPLETE
96,0.3208888888888889,2022-09-19 01:16:14.130682,2022-09-19 02:05:47.654431,0 days 00:49:33.523749,17.692027202401167,COMPLETE
97,0.3212674897119342,2022-09-19 01:21:01.955719,2022-09-19 02:10:39.535892,0 days 00:49:37.580173,21.784705904695265,COMPLETE
98,0.32093827160493826,2022-09-19 01:26:49.991596,2022-09-19 02:15:15.035272,0 days 00:48:25.043676,17.7909293315248,COMPLETE
99,0.32156378600823043,2022-09-19 01:32:44.138830,2022-09-19 02:20:56.495652,0 days 00:48:12.356822,4.7492408584868455,COMPLETE
