Top-K,Classifier,Metric,Score,Max-F1-COSTER,Max-F1-RESICO,Approach
Top-1,COSTER,Precision,58,58,90,COSTER
Top-1,COSTER,Recall,58,58,90,COSTER
Top-1,COSTER,F1-Score,58,58,90,COSTER
Top-1,RESICO-KNN,Precision,90,58,90,RESICO
Top-1,RESICO-KNN,Recall,90,58,90,RESICO
Top-1,RESICO-KNN,F1-Score,90,58,90,RESICO
Top-1,RESICO-RF,Precision,81,58,90,RESICO
Top-1,RESICO-RF,Recall,81,58,90,RESICO
Top-1,RESICO-RF,F1-Score,81,58,90,RESICO
Top-1,RESICO-SVC,Precision,68,58,90,RESICO
Top-1,RESICO-SVC,Recall,76,58,90,RESICO
Top-1,RESICO-SVC,F1-Score,72,58,90,RESICO
Top-1,RESICO-RL,Precision,44,58,90,RESICO
Top-1,RESICO-RL,Recall,74,58,90,RESICO
Top-1,RESICO-RL,F1-Score,55,58,90,RESICO
Top-3,COSTER,Precision,69,69,92,COSTER
Top-3,COSTER,Recall,69,69,92,COSTER
Top-3,COSTER,F1-Score,69,69,92,COSTER
Top-3,RESICO-KNN,Precision,92,69,92,RESICO
Top-3,RESICO-KNN,Recall,92,69,92,RESICO
Top-3,RESICO-KNN,F1-Score,92,69,92,RESICO
Top-3,RESICO-RF,Precision,88,69,92,RESICO
Top-3,RESICO-RF,Recall,88,69,92,RESICO
Top-3,RESICO-RF,F1-Score,88,69,92,RESICO
Top-3,RESICO-SVC,Precision,77,69,92,RESICO
Top-3,RESICO-SVC,Recall,80,69,92,RESICO
Top-3,RESICO-SVC,F1-Score,79,69,92,RESICO
Top-3,RESICO-RL,Precision,59,69,92,RESICO
Top-3,RESICO-RL,Recall,81,69,92,RESICO
Top-3,RESICO-RL,F1-Score,68,69,92,RESICO
Top-5,COSTER,Precision,73,73,92,COSTER
Top-5,COSTER,Recall,73,73,92,COSTER
Top-5,COSTER,F1-Score,73,73,92,COSTER
Top-5,RESICO-KNN,Precision,92,73,92,RESICO
Top-5,RESICO-KNN,Recall,92,73,92,RESICO
Top-5,RESICO-KNN,F1-Score,92,73,92,RESICO
Top-5,RESICO-RF,Precision,90,73,92,RESICO
Top-5,RESICO-RF,Recall,90,73,92,RESICO
Top-5,RESICO-RF,F1-Score,90,73,92,RESICO
Top-5,RESICO-SVC,Precision,80,73,92,RESICO
Top-5,RESICO-SVC,Recall,82,73,92,RESICO
Top-5,RESICO-SVC,F1-Score,81,73,92,RESICO
Top-5,RESICO-RL,Precision,64,73,92,RESICO
Top-5,RESICO-RL,Recall,82,73,92,RESICO
Top-5,RESICO-RL,F1-Score,72,73,92,RESICO